Student_ID,Name,Department,Semester,Attendance,Assignment_Marks,Internal_Marks,Marks,Result
1001,Aarav,CSE,3,68,10,14,59,Pass
1002,Aditi,AI,5,71,17,19,72,Pass
1003,Rohan,IT,7,74,13,24,74,Pass
1004,Priya,ECE,3,77,20,29,87,Pass
1005,Rahul,CSE,5,80,16,17,72,Pass
1006,Sneha,AI,7,83,12,22,74,Pass
1007,Vikram,IT,3,86,19,27,87,Pass
1008,Neha,ECE,5,89,15,15,72,Pass
1009,Arjun,CSE,7,92,11,20,66,Pass
1010,Kavya,AI,3,95,18,25,79,Pass
1011,Sanjay,IT,5,98,14,30,81,Pass
1012,Meera,ECE,7,70,10,18,66,Pass
1013,Nikhil,CSE,3,73,17,23,79,Pass
1014,Pooja,AI,5,76,13,28,81,Pass
1015,Harish,IT,7,79,20,16,77,Pass
1016,Divya,ECE,3,82,16,21,79,Pass
1017,Kiran,CSE,5,85,12,26,73,Pass
1018,Ananya,AI,7,88,19,14,69,Pass
1019,Rakesh,IT,3,91,15,19,71,Pass
1020,Ishita,ECE,5,94,11,24,73,Pass
1021,Surya,CSE,7,97,18,29,86,Pass
1022,Nandini,AI,3,69,14,17,71,Pass
1023,Akash,IT,5,72,10,22,73,Pass
1024,Bhavana,ECE,7,75,17,27,86,Pass
1025,Raj,CSE,3,78,13,15,63,Pass
1026,Keerthi,AI,5,81,20,20,76,Pass
1027,Mohan,IT,7,84,16,25,78,Pass
1028,Shruthi,ECE,3,87,12,30,80,Pass
1029,Varun,CSE,5,90,19,18,76,Pass
1030,Lakshmi,AI,7,93,15,23,78,Pass
1031,Ajay,IT,3,96,11,28,80,Pass
1032,Harini,ECE,5,68,18,16,76,Pass
1033,Sachin,CSE,7,71,14,21,70,Pass
1034,Pavithra,AI,3,74,10,26,72,Pass
1035,Deepak,IT,5,77,17,14,68,Pass
1036,Swathi,ECE,7,80,13,19,70,Pass
1037,Karthik,CSE,3,83,20,24,83,Pass
1038,Siri,AI,5,86,16,29,85,Pass
1039,Manoj,IT,7,89,12,17,70,Pass
1040,Ramya,ECE,3,92,19,22,83,Pass
1041,Yash,CSE,5,95,15,27,77,Pass
1042,Anu,AI,7,98,11,15,62,Pass
1043,Rishi,IT,3,70,18,20,75,Pass
1044,Vaishnavi,ECE,5,73,14,25,77,Pass
1045,Gopi,CSE,7,76,10,30,79,Pass
1046,Tejaswini,AI,3,79,17,18,75,Pass
1047,Naveen,IT,5,82,13,23,77,Pass
1048,Anjali,ECE,7,85,20,28,90,Pass
1049,Praveen,CSE,3,88,16,16,67,Pass
1050,Sindhu,AI,5,91,12,21,69,Pass
1051,Abhishek,IT,7,94,19,26,82,Pass
1052,Bhavya,ECE,3,97,15,14,67,Pass
1053,Chandu,CSE,5,69,11,19,69,Pass
1054,Dharani,AI,7,72,18,24,82,Pass
1055,Eshwar,IT,3,75,14,29,84,Pass
1056,Farah,ECE,5,78,10,17,69,Pass
1057,Ganesh,CSE,7,81,17,22,74,Pass
1058,Hema,AI,3,84,13,27,76,Pass
1059,Imran,IT,5,87,20,15,72,Pass
1060,Janani,ECE,7,90,16,20,74,Pass
1061,Kishore,CSE,3,93,12,25,76,Pass
1062,Lavanya,AI,5,96,19,30,89,Pass
1063,Madhav,IT,7,68,15,18,74,Pass
1064,Nisha,ECE,3,71,11,23,76,Pass
1065,Omkar,CSE,5,74,18,28,81,Pass
1066,Preethi,AI,7,77,14,16,66,Pass
1067,Qasim,IT,3,80,10,21,68,Pass
1068,Ritu,ECE,5,83,17,26,81,Pass
1069,Sagar,CSE,7,86,13,14,66,Pass
1070,Tanvi,AI,3,89,20,19,79,Pass
1071,Uday,IT,5,92,16,24,81,Pass
1072,Vaidehi,ECE,7,95,12,29,83,Pass
1073,Wasim,CSE,3,98,19,17,71,Pass
1074,Xavier,AI,5,70,15,22,73,Pass
1075,Yamini,IT,7,73,11,27,75,Pass
1076,Zoya,ECE,3,76,18,15,71,Pass
1077,Akhil,CSE,5,79,14,20,73,Pass
1078,Bindu,AI,7,82,10,25,75,Pass
1079,Chetan,IT,3,85,17,30,88,Pass
1080,Deeksha,ECE,5,88,13,18,73,Pass
1081,Eswar,CSE,7,91,20,23,78,Pass
1082,Fathima,AI,3,94,16,28,80,Pass
1083,Girish,IT,5,97,12,16,65,Pass
1084,Harika,ECE,7,69,19,21,78,Pass
1085,Indrajith,CSE,3,72,15,26,80,Pass
1086,Jyothi,AI,5,75,11,14,65,Pass
1087,Krishna,IT,7,78,18,19,78,Pass
1088,Likhitha,ECE,3,81,14,24,80,Pass
1089,Murali,CSE,5,84,10,29,74,Pass
1090,Nikitha,AI,7,87,17,17,70,Pass
1091,Pranav,IT,3,90,13,22,72,Pass
1092,Rohini,ECE,5,93,20,27,85,Pass
1093,Shiva,CSE,7,96,16,15,70,Pass
1094,Trisha,AI,3,68,12,20,72,Pass
1095,Umesh,IT,5,71,19,25,85,Pass
1096,Varsha,ECE,7,74,15,30,87,Pass
1097,Yogesh,CSE,3,77,11,18,64,Pass
1098,Zainab,AI,5,80,18,23,77,Pass
1099,Aravind,IT,7,83,14,28,79,Pass
1100,Bhargavi,ECE,3,86,10,16,64,Pass
